Date	Month	Metric	User	Brand	Pack Size	Pack Type	SKU	Task	Unit Sales	Sales Value	Count	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit	Unit Sales Monthly Change	Sales Value Monthly Change	Distribution Monthly Change	Cost of Sales Monthly Change	Price Monthly Change	Gross Profit Monthly Change	Indirect Costs Monthly Change	Operating Profit Monthly Change	CountTime
1/1/11	11-Jan	Time On Task/secs	User 005	Beta	60	Standard	Beta 60 Pack Standard	Sign Off	893	90274	44	229.35	101.09	90044.65	84069.26	5975.39	893	90274	54.39	229.35	101.09	90044.65	84069.26	5975.39	
1/1/11	11-Jan	Mouse Clicks Per Task	User 005	Beta	8	Standard	Beta 8 Pack Standard	Add Evidence 2	945	119762	9	304.27	126.73	119457.73	111530.79	7926.94	945	119762	20.81	304.27	126.73	119457.73	111530.79	7926.94	
1/1/11	11-Jan	Time On Task/secs	User 005	Beta	12	Deluxe	Beta 12 Pack Deluxe	Add Evidence 2	485	59689	30	151.64	123.07	59537.36	55586.31	3951.05	485	59689	12.16	151.64	123.07	59537.36	55586.31	3951.05	0
1/1/11	11-Jan	Mouse Clicks Per Task	User 006	Omega	12	Standard	Omega 12 Pack Standard	Add Evidence	979	56381	24	143.24	57.59	56237.76	52505.84	3731.92	979	56381	72.03	143.24	57.59	56237.76	52505.84	3731.92	
1/1/11	11-Jan	Mouse Clicks Per Task	User 006	Omega	12	Standard	Omega 12 Pack Standard	Review Evidence	233	15511	7	39.41	66.57	15471.59	14444.58	1027.01	233	15511	4.15	39.41	66.57	15471.59	14444.58	1027.01	
1/2/11	11-Feb	Mouse Clicks Per Task	User 006	Omega	12	Standard	Omega 12 Pack Standard	Sign Off	928	54749	14	139.1	59	54609.9	50986.57	3623.33	-51	-1632	-4.84	-4.14	1.41	-1627.86	-1519.27	-108.59	
1/2/11	11-Feb	Time On Task/secs	User 006	Omega	12	Standard	Omega 12 Pack Standard	Add Evidence	230	15329	133	38.95	66.65	15290.05	14275.28	1014.77	-3	-182	1.04	-0.46	0.08	-181.54	-169.3	-12.24	
1/3/11	11-Mar	Time On Task/secs	User 006	Omega	12	Standard	Omega 12 Pack Standard	Review Evidence	1780	95776	65	243.33	53.81	95532.67	89193.67	6339	852	41027	1.39	104.23	-5.19	40922.77	38207.1	2715.67	
1/3/11	11-Mar	Time On Task/secs	User 006	Omega	12	Standard	Omega 12 Pack Standard	Sign Off	1127	61957	100	157.41	54.98	61799.59	57698.99	4100.6	897	46628	10.12	118.46	-11.67	46509.54	43423.71	3085.83	
1/4/11	11-Apr	Mouse Clicks Per Task	User 006	Omega	12	Standard	Omega 12 Pack Standard	Add Evidence 2	721	40326	17	102.45	55.93	40223.55	37554.47	2669.08	-1059	-55450	-13.69	-140.88	2.12	-55309.12	-51639.2	-3669.92	0
1/4/11	11-Apr	Time On Task/secs	User 006	Omega	12	Standard	Omega 12 Pack Standard	Add Evidence 2	644	36976	117	93.94	57.42	36882.06	34434.33	2447.73	-483	-24981	-1.54	-63.47	2.44	-24917.53	-23264.66	-1652.87	
1/1/11	11-Jan	Mouse Clicks Per Task	User 007	Kappa	8	Standard	Kappa 8 Pack Standard	Add Evidence	872	68483	12	173.99	78.54	68309.01	63776.66	4532.35	872	68483	96.5	173.99	78.54	68309.01	63776.66	4532.35	
1/1/11	11-Jan	Mouse Clicks Per Task	User 007	Kappa	12	Standard	Kappa 12 Pack Standard	Review Evidence	1891	134746	13	342.34	71.26	134403.66	125485.34	8918.32	1891	134746	96.8	342.34	71.26	134403.66	125485.34	8918.32	
1/1/11	11-Jan	Mouse Clicks Per Task	User 007	Kappa	18	Standard	Kappa 18 Pack Standard	Sign Off	3067	203498	4	517.01	66.35	202980.99	189512.32	13468.67	3067	203498	96.63	517.01	66.35	202980.99	189512.32	13468.67	
1/1/11	11-Jan	Time On Task/secs	User 007	Kappa	8	Standard	Kappa 8 Pack Standard	Add Evidence	776	69099	75	175.55	89.05	68923.45	64349.95	4573.5	776	69099	19.87	175.55	89.05	68923.45	64349.95	4573.5	117
1/1/11	11-Jan	Time On Task/secs	User 007	Kappa	12	Standard	Kappa 12 Pack Standard	Review Evidence	2216	166212	82	422.28	75.01	165789.72	154788.55	11001.17	2216	166212	26.44	422.28	75.01	165789.72	154788.55	11001.17	
1/1/11	11-Jan	Time On Task/secs	User 007	Kappa	18	Standard	Kappa 18 Pack Standard	Sign Off	927	68194	14	173.26	73.56	68020.74	63507.34	4513.4	927	68194	12.49	173.26	73.56	68020.74	63507.34	4513.4	
1/2/11	11-Feb	Mouse Clicks Per Task	User 007	Kappa	8	Standard	Kappa 8 Pack Standard	Add Evidence 2	886	71740	8	182.26	80.97	71557.74	66809.06	4748.68	14	3257	0.81	8.27	2.43	3248.73	3032.4	216.33	40
1/2/11	11-Feb	Time On Task/secs	User 007	Kappa	12	Standard	Kappa 12 Pack Standard	Add Evidence 2	2183	155881	33	396.03	71.41	155484.97	145167.21	10317.76	292	21135	1.93	53.69	0.15	21081.31	19681.87	1399.44	
1/1/11	11-Jan	Mouse Clicks Per Task	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Add Evidence	804	62191	29	158	77.35	62033	57916.35	4116.65	804	62191	79.48	158	77.35	62033	57916.35	4116.65	
1/1/11	11-Jan	Mouse Clicks Per Task	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Review Evidence	188	15899	6	40.39	84.57	15858.61	14806.66	1051.95	188	15899	5.74	40.39	84.57	15858.61	14806.66	1051.95	14
1/2/11	11-Feb	Mouse Clicks Per Task	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Sign Off	818	63784	4	162.05	77.98	63621.95	59399.87	4222.08	14	1593	-18.28	4.05	0.63	1588.95	1483.52	105.43	
1/2/11	11-Feb	Time On Task/secs	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Add Evidence	171	14687	117	37.31	85.89	14649.69	13677.96	971.73	-17	-1212	1.15	-3.08	1.32	-1208.92	-1128.7	-80.22	
1/3/11	11-Mar	Time On Task/secs	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Review Evidence	887	69046	40	175.42	77.84	68870.58	64300.78	4569.8	69	5262	-4.28	13.37	-0.14	5248.63	4900.91	347.72	0
1/3/11	11-Mar	Time On Task/secs	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Sign Off	149	12992	14	33.01	87.19	12958.99	12099.46	859.53	-22	-1695	-0.42	-4.3	1.3	-1690.7	-1578.5	-112.2	
1/4/11	11-Apr	Mouse Clicks Per Task	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Add Evidence 2	1031	77837	8	197.75	75.5	77639.25	72487.22	5152.03	144	8791	4.72	22.33	-2.34	8768.67	8186.44	582.23	
1/4/11	11-Apr	Time On Task/secs	User 008	Pi	12	Giftset	Pi 12 Pack Giftset	Add Evidence 2	239	20456	36	51.97	85.59	20404.03	19050.47	1353.56	90	7464	-0.21	18.96	-1.6	7445.04	6951.01	494.03	0
